/ Control Events;;;;;

EVT_DSP_CPT_FMC_RESET_SWITCH;69973;341;;/ CAPT Side FMC RESET Pushbutton
EVT_DSP_CPT_MASTER_LIGHTS_SWITCH;69978;346;;/ MASTER LIGHTS & TEST switch


EVT_DSP_FO_MAIN_DU_SELECTOR;70072;440;;/ FO side MAIN PANEL DISPLAY UNITS ( MAIN PANEL DUs ) Selector 
EVT_DSP_FO_LOWER_DU_SELECTOR;70073;441;;/ FO side LOWER DISPLAY UNIT ( LOWER DU ) Selector 
EVT_DSP_FO_DISENGAGE_TEST_SWITCH;70074;442;;/ FO side DISENGAGE LIGHTS TEST switch
EVT_DSP_FO_FMC_RESET_SWITCH;70075;443;;/ FO Side FMC RESET Pushbutton
EVT_DSP_FO_AT_RESET_SWITCH;70076;444;;/ FO Side AT RESET Pushbutton
EVT_DSP_FO_AP_RESET_SWITCH;70077;445;;/ FO Side AP RESET Pushbutton
EVT_DSP_FO_BELOW_GS_INHIBIT_SWITCH;70078;446;;/ FO Side BELOW GS INHIBIT Pushbutton


/ Main panel misc;;
EVT_MPM_AUTOBRAKE_SELECTOR;70092;460
EVT_MPM_MFD_SYS_BUTTON;70094;462
EVT_MPM_MFD_ENG_BUTTON;70095;463
EVT_MPM_MFD_C_R_BUTTON;74253;4621
EVT_MPM_SPEED_REFERENCE_SELECTOR;70096;464
EVT_MPM_SPEED_REFERENCE_CONTROL;70097;465
EVT_MPM_N1SET_SELECTOR;70098;466
EVT_MPM_N1SET_CONTROL;70099;467
EVT_MPM_FUEL_FLOW_SWITCH;70100;468

/ Gear panel;;
EVT_GEAR_LEVER;70087;455
EVT_GEAR_LEVER_OFF;74183;4551
EVT_GEAR_LEVER_UNLOCK;74184;4552;;

/ Nose Wheel Steering;;;;
EVT_NOSE_WHEEL_STEERING_SWITCH;69957;325;;
EVT_NOSE_WHEEL_STEERING_SWITCH_GUARD;69958;326;;
EVT_TILLER;70607;975;;

/ Warning/caution;;;;
EVT_FIRE_WARN_LIGHT_LEFT;69979;347;;/ 347 - Master Fire Warning ( FIRE WARN ) Light Left Switch Toggle
EVT_MASTER_CAUTION_LIGHT_LEFT;69980;348;;/ 348 - MASTER CAUTION Light Left Switch Toggle

EVT_FIRE_WARN_LIGHT_RIGHT;70071;439;;/ 
EVT_MASTER_CAUTION_LIGHT_RIGHT;70070;438;;/ 

EVT_SYSTEM_ANNUNCIATOR_PANEL_LEFT;69981;349;;/ 
EVT_SYSTEM_ANNUNCIATOR_PANEL_RIGHT;70069;437;;/ 

/ Lower Main;;
EVT_LWRMAIN_CAPT_MAIN_PANEL_BRT;69960;328
EVT_LWRMAIN_CAPT_OUTBD_DU_BRT;69961;329
EVT_LWRMAIN_CAPT_INBD_DU_BRT;69962;330
EVT_LWRMAIN_CAPT_INBD_DU_INNER_BRT;69963;331
EVT_LWRMAIN_CAPT_LOWER_DU_BRT;69964;332
EVT_LWRMAIN_CAPT_LOWER_DU_INNER_BRT;69965;333
EVT_LWRMAIN_CAPT_UPPER_DU_BRT;69966;334
